age,nbHomme,nbFemme,tot,proba
0,19970,18930,38900,0.0103523525654673
1,21235,20250,41485,0.0110402916755376
2,21684,21323,43007,0.0114453374494358
3,23102,21789,44891,0.0119467213114754
4,23522,22586,46108,0.0122705982542048
5,24324,23238,47562,0.0126575473706621
6,25236,24127,49363,0.0131368426655312
7,25331,23928,49259,0.0131091654247392
8,25356,24072,49428,0.0131541409410262
9,25292,24180,49472,0.0131658505428997
10,25769,24783,50552,0.013453268043432
11,25481,24293,49774,0.0132462209921226
12,25166,23777,48943,0.013025069193102
13,25247,24538,49785,0.013249148392591
14,25605,24119,49724,0.0132329146263572
15,25813,24236,50049,0.0133194060038322
16,26065,24416,50481,0.0134343730040451
17,23991,22429,46420,0.0123536299765808
18,23673,22155,45828,0.0121960826059187
19,22471,21130,43601,0.0116034170747285
20,21874,21287,43161,0.0114863210559932
21,21201,20564,41765,0.0111148073238237
22,19657,18996,38653,0.0102866191185863
23,18880,18507,37387,0.00994970193740686
24,19657,19263,38920,0.0103576751117735
25,20098,19320,39418,0.0104902065147967
26,20188,19642,39830,0.0105998509687034
27,20078,20282,40360,0.0107408984458165
28,20497,20769,41266,0.0109820097934852
29,20458,21058,41516,0.0110485416223121
30,21331,21508,42839,0.0114006280604641
31,21507,22108,43615,0.0116071428571429
32,21629,21946,43575,0.0115964977645306
33,21636,21759,43395,0.0115485948477752
34,23539,23697,47236,0.0125707898658718
35,23488,24265,47753,0.0127083776878859
36,24489,24685,49174,0.013086544602938
37,23034,23080,46114,0.0122721950180967
38,22551,22688,45239,0.0120393336172025
39,22576,22906,45482,0.0121040025548222
40,22460,21959,44419,0.0118211092186502
41,23352,23529,46881,0.0124763146689376
42,24681,24509,49190,0.013090802639983
43,25730,25771,51501,0.0137058228656589
44,26131,26209,52340,0.013929103683202
45,26256,26066,52322,0.0139243133915265
46,25466,24949,50415,0.0134168086012348
47,24938,24833,49771,0.0132454226101767
48,24344,24407,48751,0.0129739727485629
49,24107,23836,47943,0.0127589418777943
50,24508,24882,49390,0.0131440281030445
51,24484,24245,48729,0.0129681179476261
52,24431,25064,49495,0.0131719714711518
53,24047,24904,48951,0.0130271982116244
54,23671,24155,47826,0.0127278049819033
55,23715,24669,48384,0.012876304023845
56,23251,24020,47271,0.0125801043219076
57,23256,24477,47733,0.0127030551415797
58,22867,23643,46510,0.0123775814349585
59,22686,23977,46663,0.0124182989142006
60,22666,24049,46715,0.0124321375345966
61,22361,24076,46437,0.012358154140941
62,22109,23901,46010,0.0122445177773047
63,21854,23705,45559,0.0121244943581009
64,22661,24433,47094,0.0125329997870982
65,21700,24061,45761,0.0121782520757931
66,22584,24409,46993,0.0125061209282521
67,21909,24777,46686,0.0124244198424526
68,22325,24473,46798,0.0124542261017671
69,21505,23837,45342,0.0120667447306792
70,19787,22118,41905,0.0111520651479668
71,13614,15897,29511,0.00785368320204386
72,13232,15799,29031,0.00772594209069619
73,13063,15451,28514,0.00758835426868214
74,11836,14163,25999,0.00691904407068342
75,10391,12491,22882,0.00608952522886949
76,10714,13280,23994,0.00638545880349159
77,11155,14638,25793,0.00686422184373004
78,10826,14198,25024,0.00665956993825846
79,10702,14322,25024,0.00665956993825846
80,10105,13981,24086,0.00640994251649989
81,9622,13813,23435,0.00623669363423462
82,9397,13757,23154,0.00616191185863317
83,8379,12838,21217,0.00564642324888226
84,7835,12781,20616,0.00548648073238237
85,6945,11625,18570,0.00494198424526293
86,6093,11396,17489,0.00465430061741537
87,5225,10126,15351,0.00408532041728763
88,4581,9586,14167,0.00377022567596338
89,4004,8295,12299,0.0032730998509687
90,3263,7507,10770,0.00286619118586332
91,2706,6455,9161,0.00243799233553332
92,2136,5468,7604,0.00202363210559932
93,1798,4845,6643,0.00176788375558867
94,1296,3965,5261,0.00140009580583351
95,879,3107,3986,0.00106078347881627
96,680,2410,3090,0.000822333404300617
97,227,1038,1265,0.000336651053864169
98,157,670,827,0.000220087289759421
99,273,1449,1722,0.000458271236959762
