age,nbHomme,nbFemme,tot,proba
0,1573,1515,3088,0.00828784145745771
1,1754,1727,3481,0.00934260884501629
2,1901,1912,3813,0.0102336591571523
3,1850,1793,3643,0.00977739845515494
4,1907,1872,3779,0.0101424070167528
5,1899,1900,3799,0.0101960847463996
6,2147,2059,4206,0.0112884265447109
7,2190,2222,4412,0.0118413071600724
8,2369,2140,4509,0.0121016441488591
9,2203,2249,4452,0.0119486626193659
10,2428,2208,4636,0.0124424977321159
11,2294,2305,4599,0.0123431939322694
12,2309,2305,4614,0.0123834522295045
13,2482,2477,4959,0.0133093930659109
14,2340,2399,4739,0.0127189380397967
15,2448,2525,4973,0.0133469674766636
16,2559,2725,5284,0.0141816561726705
17,2749,2315,5064,0.0135912011465563
18,2272,2136,4408,0.011830571614143
19,2129,2079,4208,0.0112937943176755
20,2044,1759,3803,0.0102068202923289
21,1797,1708,3505,0.00940702212059239
22,1792,1649,3441,0.0092352533857228
23,1679,1640,3319,0.00890781923487764
24,1758,1792,3550,0.00952779701229757
25,1559,1758,3317,0.00890245146191297
26,1711,1912,3623,0.00972372072550819
27,1533,2029,3562,0.00956000365008562
28,1559,1854,3413,0.00916010456421735
29,1537,2015,3552,0.00953316478526224
30,1454,1966,3420,0.00917889176959371
31,1551,2025,3576,0.00959757806083834
32,1388,1969,3357,0.00900980692120646
33,1497,2023,3520,0.00944728041782745
34,1541,2101,3642,0.0097747145686726
35,1538,2043,3581,0.00961099749325003
36,1505,2163,3668,0.00984449561721337
37,1427,2158,3585,0.00962173303917938
38,1423,1840,3263,0.00875752159186675
39,1585,2093,3678,0.00987133448203675
40,1604,2234,3838,0.0103007563192107
41,1921,2539,4460,0.0119701337112246
42,1790,2602,4392,0.0117876294304256
43,2045,2829,4874,0.0130812627149122
44,2303,3027,5330,0.014305114950858
45,2393,3223,5616,0.0150727064848065
46,2499,3152,5651,0.0151666425116883
47,2491,2864,5355,0.0143722121129165
48,2608,3359,5967,0.0160147506401069
49,2806,3574,6380,0.0171231957573122
50,2879,3486,6365,0.0170829374600772
51,2996,3783,6779,0.0181940664637648
52,2775,3501,6276,0.0168440715631492
53,2992,3874,6866,0.0184275645877282
54,2998,3557,6555,0.0175928758917213
55,3047,3388,6435,0.0172708095138408
56,2976,3376,6352,0.0170480469358068
57,2742,3225,5967,0.0160147506401069
58,2802,3146,5948,0.0159637567969425
59,2613,3060,5673,0.0152256880142997
60,2706,2971,5677,0.0152364235602291
61,2481,2828,5309,0.014248753334729
62,2452,2791,5243,0.0140716168268947
63,2347,2817,5164,0.01385958979479
64,2268,2550,4818,0.0129309650719013
65,2139,2635,4774,0.0128128740666785
66,2051,2601,4652,0.0124854399158333
67,2000,2354,4354,0.0116856417440968
68,2026,2263,4289,0.0115111891227449
69,1808,2067,3875,0.0104000601190572
70,1880,2021,3901,0.010469841167598
71,1766,2204,3970,0.0106550293348793
72,1519,1715,3234,0.00867968888387897
73,1337,1558,2895,0.00776985136636661
74,1333,1730,3063,0.00822074429539928
75,1249,1472,2721,0.00730285511843991
76,1338,1625,2963,0.00795235564716555
77,1190,1556,2746,0.00736995228049834
78,1135,1558,2693,0.00722770629693447
79,1092,1424,2516,0.00675265838956075
80,1062,1414,2476,0.00664530293026726
81,1008,1398,2406,0.00645743087650365
82,944,1270,2214,0.00594212467189488
83,761,1141,1902,0.00510475208940563
84,597,993,1590,0.00426737950691638
85,660,825,1485,0.00398557142627095
86,642,964,1606,0.00431032169063377
87,474,820,1294,0.00347294910814452
88,398,701,1099,0.00294959124408874
89,330,701,1031,0.0027670869632898
90,233,513,746,0.00200217931582366
91,267,515,782,0.0020987992291878
92,187,481,668,0.00179283617020135
93,134,320,454,0.00121848446298115
94,107,305,412,0.00110576123072299
95,106,305,411,0.00110307734424065
96,85,211,296,0.000794430398771854
97,49,123,172,0.000461628474962023
98,24,121,145,0.000389163539938915
99,88,340,428,0.00114870341444038
