age,nbHomme,nbFemme,tot,proba
0,5716,5520,11236,0.0131621642833965
1,6181,6127,12308,0.0144179350302638
2,6312,6120,12432,0.0145631920942671
3,6112,5870,11982,0.0140360495232874
4,6613,6345,12958,0.0151793631883457
5,6390,6353,12743,0.0149275061822109
6,6542,6459,13001,0.0152297345895727
7,6679,6570,13249,0.0155202487175793
8,7271,6940,14211,0.0166471623915404
9,7271,6631,13902,0.0162851911594677
10,7022,6621,13643,0.0159817913241704
11,7221,6820,14041,0.0164480196425036
12,7249,7011,14260,0.0167045623603804
13,7279,6705,13984,0.0163812482501795
14,7146,6999,14145,0.0165698481477967
15,7408,6979,14387,0.0168533337081903
16,6902,7027,13929,0.0163168197137264
17,6701,6625,13326,0.0156104486686136
18,6549,6249,12798,0.014991934718664
19,6032,6005,12037,0.0141004780597405
20,5667,5360,11027,0.0129173358448748
21,5236,4948,10184,0.0119298220952394
22,5009,5208,10217,0.0119684792171113
23,5061,4994,10055,0.0117787078915586
24,5028,5507,10535,0.0123409933006036
25,4803,5386,10189,0.011935679234917
26,4861,5517,10378,0.0121570791147285
27,4607,5660,10267,0.0120270506138868
28,4666,5503,10169,0.0119122506762068
29,4583,5507,10090,0.0118197078693014
30,4535,5656,10191,0.011938022090788
31,4608,5936,10544,0.0123515361520232
32,4716,5672,10388,0.0121687933940836
33,4658,5560,10218,0.0119696506450468
34,4504,5833,10337,0.0121090505693725
35,4774,5896,10670,0.0124991360718976
36,4916,6199,11115,0.0130204215031998
37,5082,6240,11322,0.0132629070858504
38,4760,5815,10575,0.0123878504180241
39,5100,5975,11075,0.0129735643857793
40,5094,6065,11159,0.0130719643323622
41,5381,6459,11840,0.0138697067564449
42,5299,6158,11457,0.0134210498571444
43,5455,6394,11849,0.0138802496078645
44,5842,6151,11993,0.014048935230578
45,5779,6567,12346,0.0144624492918132
46,5681,6128,11809,0.0138333924904441
47,6009,6620,12629,0.0147939633975627
48,6310,6773,13083,0.0153257916802845
49,6084,6897,12981,0.0152063060308624
50,6294,7111,13405,0.0157029914755189
51,6361,6576,12937,0.0151547632017
52,6492,6678,13170,0.0154277059106739
53,6479,6533,13012,0.0152426202968633
54,5911,6144,12055,0.0141215637625797
55,5755,5850,11605,0.0135944211915999
56,5006,5807,10813,0.0126666502666756
57,5347,5338,10685,0.0125167074909302
58,4739,5441,10180,0.0119251363834974
59,4886,5089,9975,0.0116849936567177
60,4694,5169,9863,0.0115537937279405
61,4478,4817,9295,0.0108884226605706
62,4395,4774,9169,0.0107408227406962
63,4386,4618,9004,0.010547537131337
64,3965,4309,8274,0.00969239473841428
65,3577,3830,7407,0.00867676671832664
66,3375,3874,7249,0.00849168110451597
67,3172,3397,6569,0.0076951101083688
68,2815,3290,6105,0.0071515675462919
69,2906,3014,5920,0.00693485337822245
70,2530,2772,5302,0.00621091091407693
71,2096,2530,4626,0.0054190256296718
72,1993,2304,4297,0.00503362583888883
73,1939,2429,4368,0.00511679722231008
74,1962,2401,4363,0.00511094008263253
75,1596,2092,3688,0.00432022622616291
76,1719,2075,3794,0.00444439758732702
77,1368,1890,3258,0.00381651221389337
78,1304,1955,3259,0.00381768364182888
79,1267,1920,3187,0.00373334083047212
80,1195,1812,3007,0.00352248380208022
81,1022,1595,2617,0.00306562690723111
82,845,1463,2308,0.00270365567515835
83,744,1259,2003,0.00234637015482763
84,600,1110,1710,0.00200314176972304
85,536,903,1439,0.00168568479919968
86,560,967,1527,0.00178877045752461
87,358,853,1211,0.00141859922990328
88,360,734,1094,0.00128154216144854
89,290,650,940,0.00110114225937992
90,246,507,753,0.000882085235439444
91,172,455,627,0.000734485315565114
92,155,429,584,0.000684113914338161
93,142,353,495,0.000579856828077722
94,69,244,313,0.000366656943814802
95,47,224,271,0.000317456970523359
96,27,167,194,0.000227257019489047
97,17,104,121,0.000141742780196776
98,20,77,97,0.000113628509744523
99,41,209,250,0.000292856983877637
