age,nbHomme,nbFemme,tot,proba
0,28695,26936,55631,0.0100243513660298
1,30133,28615,58748,0.0105860148847139
2,31686,30326,62012,0.0111741668657806
3,31607,30600,62207,0.0112093046220024
4,32359,30897,63256,0.0113983277311136
5,33519,31510,65029,0.0117178110222997
6,33861,32308,66169,0.0119232317509811
7,33533,31907,65440,0.011791870600798
8,34070,32844,66914,0.0120574759991106
9,33901,31774,65675,0.0118342161018858
10,34295,33140,67435,0.0121513568759904
11,33845,31888,65733,0.0118446673319415
12,33510,32126,65636,0.0118271885506414
13,33434,31826,65260,0.0117594357489009
14,33708,32264,65972,0.011887733607516
15,34883,33174,68057,0.0122634373086569
16,36593,33668,70261,0.0126605840507742
17,34519,32472,66991,0.0120713509079776
18,35048,32416,67464,0.0121565824910182
19,33372,31084,64456,0.011614560077094
20,33778,31025,64803,0.0116770872638067
21,33109,31170,64279,0.0115826658060619
22,31296,29819,61115,0.0110125331871603
23,31275,29913,61188,0.0110256873215407
24,32764,31080,63844,0.011504281580644
25,32336,31457,63793,0.0114950917059399
26,32923,31899,64822,0.0116805109426181
27,32655,32410,65065,0.0117242979926791
28,32872,32948,65820,0.0118603441770251
29,33170,33375,66545,0.0119909845527216
30,33231,34529,67760,0.0122099198030268
31,33294,34121,67415,0.0121477530035574
32,33390,33516,66906,0.0120560344501374
33,32517,32883,65400,0.011784662855932
34,34708,35435,70143,0.0126393212034195
35,35325,36525,71850,0.0129469117155766
36,34843,35592,70435,0.0126919377409414
37,33022,33527,66549,0.0119917053272082
38,32597,32611,65208,0.0117500656805751
39,32969,32808,65777,0.0118525958512941
40,31817,32193,64010,0.011534193721838
41,32714,33128,65842,0.0118643084367014
42,35143,35016,70159,0.0126422043013659
43,36512,37543,74055,0.0133442386513156
44,38019,38462,76481,0.0137813883774393
45,38639,38796,77435,0.0139532930924937
46,37776,37866,75642,0.0136302059288747
47,37884,37981,75865,0.0136703891065027
48,37631,37772,75403,0.0135871396533003
49,37283,37102,74385,0.0134037025464602
50,38639,38933,77572,0.0139779796186598
51,39091,39394,78485,0.0141424963952266
52,39167,39770,78937,0.0142239439122126
53,38889,39927,78816,0.0142021404839929
54,37455,38432,75887,0.013674353366179
55,38369,38875,77244,0.0139188761107585
56,37243,38788,76031,0.0137003012476967
57,36631,39039,75670,0.0136352513502809
58,36637,38522,75159,0.0135431724096176
59,35612,38320,73932,0.0133220748358526
60,35531,38247,73778,0.0132943250181185
61,35261,38474,73735,0.0132865766923875
62,35563,37937,73500,0.0132442311912997
63,33632,36292,69924,0.0125998588002781
64,34197,36601,70798,0.0127573480256005
65,33384,35602,68986,0.0124308371831701
66,33929,36098,70027,0.0126184187433081
67,33021,35662,68683,0.01237623851581
68,31741,33927,65668,0.0118329547465342
69,30473,33003,63476,0.0114379703278767
70,28408,31159,59567,0.0107335934608455
71,19704,21788,41492,0.00747659374951573
72,19130,21672,40802,0.007352260150577
73,18718,21550,40268,0.00725603675661572
74,18436,21752,40188,0.00724162126688369
75,16003,19654,35657,0.00642516396718602
76,16702,20327,37029,0.00667238961609028
77,17695,22197,39892,0.00718828395487519
78,16418,21807,38225,0.00688790118758408
79,15390,21017,36407,0.00656030918342377
80,14559,20713,35272,0.00635578942285064
81,12999,19931,32930,0.00593377596094556
82,12813,20077,32890,0.00592656821607954
83,11385,18302,29687,0.00534940804593352
84,10703,18574,29277,0.00527552866105688
85,9646,17550,27196,0.00490054573440253
86,8653,16372,25025,0.00450934538179965
87,6863,13942,20805,0.00374892829843523
88,5858,12880,18738,0.00337646808248399
89,4578,11211,15789,0.00284507709223715
90,3892,9801,13693,0.00246739126125805
91,3015,8531,11546,0.00208051555557478
92,2312,7069,9381,0.0016903963647018
93,1695,5684,7379,0.00132964873415783
94,1315,4633,5948,0.0010717916615762
95,962,3499,4461,0.000803843746182148
96,672,2700,3372,0.000607612892204932
97,278,1215,1493,0.000269029077123951
98,125,656,781,0.000140731218508912
99,263,1485,1748,0.000314978450644787
