age,nbHomme,nbFemme,tot,proba
0,82900,86275,169175,0.0138954141642464
1,79055,81999,161054,0.0132283850025627
2,80813,82768,163581,0.0134359435164864
3,78676,82573,161249,0.013244401587531
4,79117,83614,162731,0.0133661276332908
5,79466,81874,161340,0.0132518759938496
6,81358,84218,165576,0.0135998055011631
7,79491,82766,162257,0.0133271950113677
8,78317,81711,160028,0.0131441131247289
9,77771,80787,158558,0.0130233727149672
10,78860,81844,160704,0.0131996372859527
11,76039,78665,154704,0.0127068192869252
12,75411,77606,153017,0.0125682552928653
13,74253,76450,150703,0.012378191817907
14,73935,77161,151096,0.0124104713968433
15,74347,77252,151599,0.0124517859724285
16,76268,79635,155903,0.0128053007503975
17,72324,75866,148190,0.0121717832126477
18,73087,74974,148061,0.0121611876256686
19,73148,73355,146503,0.0120332192185878
20,75382,74471,149853,0.0123083759347115
21,77867,75712,153579,0.0126144159121076
22,79961,74912,154873,0.0127207003272312
23,82736,77579,160315,0.0131676862523491
24,88750,81791,170541,0.0140076123953583
25,88785,85183,173968,0.0142890936091362
26,92797,86295,179092,0.0147099601803057
27,93256,86453,179709,0.0147606382978723
28,93616,86612,180228,0.0148032670547882
29,93703,85294,178997,0.0147021572286544
30,93597,85177,178774,0.0146838408263572
31,92711,84600,177311,0.0145636753709277
32,91197,84396,175593,0.0144225651505395
33,89443,81921,171364,0.0140752105975583
34,91970,85504,177474,0.0145770635932346
35,90669,85418,176087,0.0144631404991261
36,92890,87745,180635,0.0148366965423889
37,87486,82858,170344,0.0139914315377236
38,86757,83028,169785,0.0139455173274808
39,86300,83983,170283,0.0139864212214001
40,83077,81790,164867,0.0135415708409446
41,83653,83610,167263,0.013738369495223
42,85008,83732,168740,0.0138596848593169
43,88511,86536,175047,0.014377718712628
44,88161,87718,175879,0.0144460561418264
45,85435,86455,171890,0.0141184143088063
46,85966,83590,169556,0.0139267081071846
47,83553,80489,164042,0.0134738083660784
48,82871,78522,161393,0.0132562292195077
49,81514,77780,159294,0.0130838250561813
50,83272,79307,162579,0.0133536429106488
51,83452,79293,162745,0.0133672775419552
52,83788,79147,162935,0.0133828834452578
53,83030,78219,161249,0.013244401587531
54,79435,73532,152967,0.0125641484762067
55,77163,72105,149268,0.0122603261798063
56,78446,73077,151523,0.0124455436111075
57,75365,69748,145113,0.0119190497154797
58,73191,67235,140426,0.0115340767219061
59,71138,64911,136049,0.0111745659916155
60,69535,62223,131758,0.0108221189859777
61,68024,60661,128685,0.0105697140341424
62,65137,57978,123115,0.0101122146583786
63,63403,56038,119441,0.00981044577030739
64,63224,55574,118798,0.00975763210807827
65,59696,52207,111903,0.0091913020908625
66,61877,53998,115875,0.00951754760621871
67,59886,52557,112443,0.00923565571077497
68,60155,51985,112140,0.00921076840182408
69,57866,51071,108937,0.00894768572667657
70,54605,46843,101448,0.00833256672755707
71,41782,36309,78091,0.00641410839367616
72,40781,35569,76350,0.00627110903762501
73,39314,32916,72230,0.00593270734495946
74,36500,30307,66807,0.00548728201017176
75,32272,26525,58797,0.00482936998147004
76,34617,27300,61917,0.00508563534096435
77,34310,26034,60344,0.00495643488888597
78,33236,24723,57959,0.00476053973427254
79,31778,23802,55580,0.00456513739765813
80,32471,22555,55026,0.00451963386908126
81,30504,20658,51162,0.00420225907770754
82,30484,19556,50040,0.0041101021118894
83,29249,17532,46781,0.00384241980208429
84,28579,16653,45232,0.00371519062200202
85,26511,15005,41516,0.00340997200793766
86,25045,13603,38648,0.00317440500440251
87,21809,11210,33019,0.00271205958498154
88,20051,9529,29580,0.0024295927352056
89,17518,8505,26023,0.00213743379811546
90,16053,6860,22913,0.00188198980195287
91,14001,5738,19739,0.00162128908046732
92,11739,4445,16184,0.00132929441604353
93,9805,3217,13022,0.00106957933055603
94,8511,2509,11020,0.000905142391547186
95,6703,2014,8717,0.000715982416253795
96,5009,1557,6566,0.000539307163602434
97,2442,570,3012,0.000247394635511808
98,1668,344,2012,0.000165258302340557
99,3627,764,4391,0.000360660638954963
