age,nbHomme,nbFemme,tot,proba
0,4062,3904,7966,0.0318457842114311
1,4216,4338,8554,0.0341964396365279
2,4097,3896,7993,0.0319537224707467
3,3798,3696,7494,0.0299588635300608
4,3680,3616,7296,0.0291673162950792
5,3597,3717,7314,0.029239275134623
6,3607,3658,7265,0.0290433871825316
7,3734,3867,7601,0.0303866188540155
8,3607,3715,7322,0.0292712568410869
9,3519,3695,7214,0.0288395038038242
10,3423,3388,6811,0.0272284253407051
11,3373,3505,6878,0.0274962721323403
12,3409,3473,6882,0.0275122629855722
13,3191,3359,6550,0.0261850221673203
14,3092,3234,6326,0.025289534386331
15,2972,3009,5981,0.0239103232950752
16,2656,2955,5611,0.0224311693711197
17,2634,2887,5521,0.0220713751734008
18,2067,2265,4332,0.0173180940502033
19,1753,1790,3543,0.0141638982502009
20,1453,1815,3268,0.0130645270905042
21,1421,1798,3219,0.0128686391384128
22,1318,1845,3163,0.0126447671931655
23,1258,1943,3201,0.012796680298869
24,1337,1944,3281,0.0131164973635081
25,1296,1900,3196,0.0127766917323291
26,1290,1945,3235,0.0129326025513406
27,1452,2119,3571,0.0142758342228245
28,1338,1935,3273,0.0130845156570442
29,1334,2058,3392,0.0135602435406947
30,1513,2043,3556,0.0142158685232047
31,1370,2003,3373,0.013484286987843
32,1464,2098,3562,0.0142398548030527
33,1350,1956,3306,0.0132164401962078
34,1374,1950,3324,0.0132883990357516
35,1372,1858,3230,0.0129126139848007
36,1533,1859,3392,0.0135602435406947
37,1610,2082,3692,0.0147595575330911
38,1499,1801,3300,0.0131924539163598
39,1359,1634,2993,0.0119651559308076
40,1393,1605,2998,0.0119851444973475
41,1372,1607,2979,0.0119091879444958
42,1296,1477,2773,0.0110856590030503
43,1250,1307,2557,0.0102221529285249
44,1245,1392,2637,0.0105419699931639
45,1235,1192,2427,0.00970245019848647
46,1377,1165,2542,0.0101621872289051
47,1268,1181,2449,0.0097903998912622
48,1011,890,1901,0.00759965299848487
49,1021,880,1901,0.00759965299848487
50,864,776,1640,0.00655624982510004
51,762,735,1497,0.00598457682205778
52,695,673,1368,0.00546887180532735
53,729,722,1451,0.00580068200989034
54,679,657,1336,0.00534094497947174
55,620,576,1196,0.00478126511635345
56,676,654,1330,0.00531695869962382
57,678,648,1326,0.00530096784639186
58,591,510,1101,0.0044014823520946
59,499,460,959,0.00383380706236033
60,507,417,924,0.00369388709658076
61,462,408,870,0.00347801057794941
62,438,430,868,0.00347001515133344
63,397,323,720,0.00287835358175124
64,373,354,727,0.00290633757490715
65,408,309,717,0.00286636044182727
66,316,295,611,0.00244260283118056
67,326,308,634,0.00253455023726428
68,230,189,419,0.0016750418760469
69,222,211,433,0.00173100986235873
70,187,187,374,0.00149514477718745
71,160,166,326,0.00130325453840403
72,184,180,364,0.00145516764410757
73,105,158,263,0.0010513986000008
74,134,131,265,0.00105939402661678
75,144,153,297,0.00118732085247239
76,101,138,239,0.000955453480609092
77,143,145,288,0.0011513414327005
78,73,71,144,0.000575670716350248
79,73,79,152,0.00060765242281415
80,101,69,170,0.000679611262357931
81,65,71,136,0.000543689009886345
82,63,65,128,0.000511707303422442
83,38,52,90,0.000359794197718905
84,39,55,94,0.000375785050950856
85,43,42,85,0.000339805631178966
86,37,43,80,0.000319817064639026
87,35,48,83,0.00033181020456299
88,13,25,38,0.000151913105703538
89,10,18,28,0.000111935972623659
90,11,12,23,0.0000919474060837201
91,11,10,21,0.0000839519794677445
92,10,16,26,0.000103940546007684
93,16,12,28,0.000111935972623659
94,7,9,16,0.0000639634129278053
95,7,11,18,0.000071958839543781
96,6,10,16,0.0000639634129278053
97,9,6,15,0.0000599656996198175
98,4,4,8,0.0000319817064639026
99,22,34,56,0.000223871945247319
